dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,54456,"howard and his co-stars all give committed performances , but they 're often undone by howard 's self-conscious attempts to find a ` literary ' filmmaking style to match his subject .",40,40
sst2,natural_language,stanfordnlp/sst2,train,11500,"george clooney , in his first directorial effort , presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years .",40,40
sst2,natural_language,stanfordnlp/sst2,train,27689,"keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt",49,40
sst2,natural_language,stanfordnlp/sst2,train,13897,"holland lets things peter out midway , but it 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals .",40,40
sst2,natural_language,stanfordnlp/sst2,train,50133,"tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more liter",45,40
sst2,natural_language,stanfordnlp/sst2,train,30745,"'s hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman",62,40
sst2,natural_language,stanfordnlp/sst2,train,23957,godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... in praise of love remains a ponderous and pret,52,40
sst2,natural_language,stanfordnlp/sst2,train,5129,"instead of a witty expose on the banality and hypocrisy of too much kid-vid , we get an ugly , mean-spirited lashing out by an adult who 's apparently been forced by",50,40
sst2,natural_language,stanfordnlp/sst2,train,38815,"there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you",53,40
sst2,natural_language,stanfordnlp/sst2,train,59782,"enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and",40,40
sst2,natural_language,stanfordnlp/sst2,train,1076,"the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum",43,40
sst2,natural_language,stanfordnlp/sst2,train,13780,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and i know this because i 've seen ` jackass : the,43,40
sst2,natural_language,stanfordnlp/sst2,train,12427,"interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run",43,40
sst2,natural_language,stanfordnlp/sst2,train,22007,"'' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams .",40,40
sst2,natural_language,stanfordnlp/sst2,train,58782,"never does `` lilo & stitch '' reach the emotion or timelessness of disney 's great past , or even that of more recent successes such as `` mulan '' or `` tarzan .",41,40
sst2,natural_language,stanfordnlp/sst2,train,911,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the",46,40
sst2,natural_language,stanfordnlp/sst2,train,106,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst --",52,40
sst2,natural_language,stanfordnlp/sst2,train,2429,"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute",40,40
sst2,natural_language,stanfordnlp/sst2,train,58568,"if hill is n't quite his generation 's don siegel ( or robert aldrich ) , it 's because there 's no discernible feeling beneath the chest hair ; it '",47,40
sst2,natural_language,stanfordnlp/sst2,train,33540,"irritates and saddens me that martin lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of bubba ho-tep 's clearly evident quality",50,40
sst2,natural_language,stanfordnlp/sst2,train,21968,"franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic",41,40
sst2,natural_language,stanfordnlp/sst2,train,43054,"if you are curious to see the darker side of what 's going on with young tv actors ( dawson leery did what ?!? ) , or see some interesting storytelling devices , you might",56,40
sst2,natural_language,stanfordnlp/sst2,train,21737,"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy",42,40
sst2,natural_language,stanfordnlp/sst2,train,31192,"more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh 's solaris is a gorgeous and deceptively minimalist cinematic tone poem",41,40
sst2,natural_language,stanfordnlp/sst2,train,36354,"would n't matter so much that this arrogant richard pryor wannabe 's routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny",40,40
sst2,natural_language,stanfordnlp/sst2,train,41822,"the plot of the comeback curlers is n't very interesting actually , but what i like about men with brooms and what is kind of special is how the film knows what 's unique and quirky",45,40
sst2,natural_language,stanfordnlp/sst2,train,39725,"there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for",44,40
sst2,natural_language,stanfordnlp/sst2,train,43025,"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is",45,40
sst2,natural_language,stanfordnlp/sst2,train,55287,"to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and h",59,40
sst2,natural_language,stanfordnlp/sst2,train,15677,"high crimes carries almost no organic intrigue as a government / marine/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat",45,40
sst2,natural_language,stanfordnlp/sst2,train,54692,... built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids,41,40
sst2,natural_language,stanfordnlp/sst2,train,25216,"while somewhat less than it might have been , the film is a good one , and you 've got to hand it to director george clooney for biting off such a big job the first time",41,40
sst2,natural_language,stanfordnlp/sst2,train,62462,"there 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulf",43,40
sst2,natural_language,stanfordnlp/sst2,train,24289,"if you appreciate the one-sided theme to lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified",47,40
sst2,natural_language,stanfordnlp/sst2,train,35351,"its and pieces of the hot chick are so hilarious , and schneider 's performance is so fine , it 's a real shame that so much of the movie -- again , as in the",48,40
sst2,natural_language,stanfordnlp/sst2,train,1622,"does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush",48,40
sst2,natural_language,stanfordnlp/sst2,train,44823,"it may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this",42,40
sst2,natural_language,stanfordnlp/sst2,train,28922,"at the end , when the now computerized yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering",43,40
sst2,natural_language,stanfordnlp/sst2,train,43940,"the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvinc",41,40
sst2,natural_language,stanfordnlp/sst2,train,55866,"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene 's prose , and it '",54,40
sst2,natural_language,stanfordnlp/sst2,train,2344,"it 's excessively quirky and a little underconfident in its delivery , but otherwise this is the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper",45,40
sst2,natural_language,stanfordnlp/sst2,train,42773,"for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/",46,40
sst2,natural_language,stanfordnlp/sst2,train,19358,"beating the austin powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness",50,40
sst2,natural_language,stanfordnlp/sst2,train,11729,"wes craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly",43,40
sst2,natural_language,stanfordnlp/sst2,train,13075,"i can imagine this movie as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al. , but at this time , with",47,40
sst2,natural_language,stanfordnlp/sst2,train,32915,"is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be",42,40
sst2,natural_language,stanfordnlp/sst2,train,44804,"stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its",51,40
sst2,natural_language,stanfordnlp/sst2,train,33591,"huppert 's show to steal and she makes a meal of it , channeling kathy baker 's creepy turn as the repressed mother on boston public just as much as 8 women",45,40
sst2,natural_language,stanfordnlp/sst2,train,62464,"so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or",42,40
gsm8k,math,openai/gsm8k,train,3329,"Jerry is sweeping up pieces of broken glass in the parking lot. He sweeps up 20 amber pieces, 35 green pieces, and some clear pieces. If the green pieces are 25% of the total glass",50,40
gsm8k,math,openai/gsm8k,train,5040,"There are 320 ducks in a pond. On the first night 1/4 of them get eaten by a fox. On the second night 1/6 of the remaining ducks fly away, and on the",56,40
gsm8k,math,openai/gsm8k,train,4853,"A road has four lanes, and in each lane, the number of cars is twice as many as the number of trucks in all the lanes. If there are 60 trucks in each lane, calculate the",49,40
gsm8k,math,openai/gsm8k,train,5504,"Thomas owns 200 books. He decides to sell them and use the money to buy records. Each book sells for $1.5. A record costs $3. If he buys 75 records, how",48,40
gsm8k,math,openai/gsm8k,train,4490,Nadia is learning to play the piano. She normally makes 3 mistakes per 40 notes and can play about 60 notes a minute. If she plays for 8 minutes how many mistakes will she make on average,41,40
gsm8k,math,openai/gsm8k,train,1397,Marly is making soup. He adds 2 quarts of milk and three times as much chicken stock to 1 quart of pureed vegetables. Then he divides the soup into bags that can hold 3 qu,50,40
gsm8k,math,openai/gsm8k,train,266,"Johns goes to the gym 3 times a week. He spends 1 hour each day lifting weight. Additionally, he also spends a third of his weightlifting time warming up and doing cardio each day.",52,40
gsm8k,math,openai/gsm8k,train,3039,The owner of a company needs to install a transformer to power his electrical equipment. He operates three units of machinery that require a running current of 40A each. These appliances require at least twice their running,70,40
gsm8k,math,openai/gsm8k,train,3823,"The garbage truck passes through Daniel's neighborhood on Tuesdays, Thursdays, and Saturdays. In each garbage collection, an average of 200 kg is taken. Due to obstruction in the roads leading to Daniel",105,40
gsm8k,math,openai/gsm8k,train,6571,"Sally, Sam, and Steve went to play with their marbles. In the beginning, Sam has twice as many marbles as Steve while Sally has 5 less than Sam. After Sam has given",64,40
gsm8k,math,openai/gsm8k,train,3316,"There were 50 candies left in a bowl after Shelly ate 20 candies the previous week. Her friend comes over, bringing twice as much candy as she originally had. Shelly adds this to",65,40
gsm8k,math,openai/gsm8k,train,68,"The ratio of coins that Elsa has to that which Amalie has is 10:45. If the total number of coins they have is 440, and Amalie spends 3/4 of what",52,40
gsm8k,math,openai/gsm8k,train,822,"Cupcakes are sold in packages of 10 and 15. Jean bought 4 packs of 15 cupcakes. If she will give one cupcake each to 100 children in the orphanage, how many packs",50,40
gsm8k,math,openai/gsm8k,train,66,Tara has been planning to buy a laptop which costs $1000. A computer shop accepts payment in installments of $65 per month provided that a 20% down payment is made. If Tara wants to,62,40
gsm8k,math,openai/gsm8k,train,47,"The file, 90 megabytes in size, downloads at the rate of 5 megabytes per second for its first 60 megabytes, and then 10 megabytes per second thereafter. How long, in seconds",48,40
gsm8k,math,openai/gsm8k,train,3526,"Jane is shopping for some fruit. She sees a stand of fruit advertising 10 apples for $2, and another one advertising 5 oranges for $1.50. Assuming there's no price discount for buying",62,40
gsm8k,math,openai/gsm8k,train,7343,"At the bake sale, Tamara makes $32 from the brownies. She made 2 pans of brownies which were all sold. The brownies were cut into 8 big square pieces. How much",46,40
gsm8k,math,openai/gsm8k,train,4947,Tony bought 3 lottery tickets and chose identical numbers on each ticket. He finds out that 5 of the numbers on each lottery ticket are winning numbers. If each winning number is worth $20 then how much,51,40
gsm8k,math,openai/gsm8k,train,2262,There are 180 school days in the academic year. Aliyah packs a lunch half the time. Becky packs her lunch half as much as Aliyah. How many days a year does Becky pack her lunch,41,40
gsm8k,math,openai/gsm8k,train,7420,Nikola is saving up for a bag of ant food before he can start his ant farm. He wants 400 ants in his farm. Each ant needs 2 ounces of food. Every ounce of ant food,101,40
gsm8k,math,openai/gsm8k,train,3792,"A choir splits into 3 groups for their performances. The first group has 25 members, and the second group has 30 members. The third group has the remaining members of the choir. If the choir overall",53,40
gsm8k,math,openai/gsm8k,train,6054,"There were 20 fishermen in the lake who had cast their net to catch fish. If they caught 10000 fish in total, and 19 of them caught 400 fish each with their own net, calculate the number",47,40
gsm8k,math,openai/gsm8k,train,2123,"Bruce buys 5 packs of crayons at $5 each, 10 books at $5 each, and 3 calculators at $5 each. If he has $200, how many bags can he",51,40
gsm8k,math,openai/gsm8k,train,3315,"A factory manufactures cars with 5 doors. The factory was planning to produce 200 cars but due to metal shortages, they decreased the production by 50 cars. Due to a pandemic, they also had to",54,40
gsm8k,math,openai/gsm8k,train,5354,It was time for Kelly to harvest her carrots that she had planted in three different beds. In the first bed she pulled out 55 carrots. In the second bed she pulled out 101 carrots and in the,66,40
gsm8k,math,openai/gsm8k,train,4032,"Paul is working at a university. He is part of a big project, which involves 70 scientists in total. Half of them are from Europe and one-fifth are from Canada. The rest are from",54,40
gsm8k,math,openai/gsm8k,train,4927,Jackie loves to climb trees. She climbed a 1000 foot tall tree. Then she climbed 2 trees that were half as tall as the first tree. She finished by climbing a tree that was 200 feet,58,40
gsm8k,math,openai/gsm8k,train,3793,"Max is planning a vacation for 8 people. The Airbnb rental costs $3200. They also plan on renting a car that will cost $800. If they plan on splitting the costs equally, how",50,40
gsm8k,math,openai/gsm8k,train,4917,"Lizzy has to ship 540 pounds of fish that are packed into 30-pound crates. If the shipping cost of each crate is $1.5, how much will Lizzy pay for the shipment",41,40
gsm8k,math,openai/gsm8k,train,288,John decides to get gym memberships so he can get in shape. The gym close to his house is close but doesn't have everything he wants so he gets two different gym memberships. The cheap,92,40
gsm8k,math,openai/gsm8k,train,2180,"A group of six friends planned to buy a car. The cost of the car is $1700 and they plan to share the cost equally. They had a car wash to help raise funds, which",100,40
gsm8k,math,openai/gsm8k,train,2613,"Tony has $87. He needs to buy some cheese, which costs $7 a pound and a pound of beef that costs $5 a pound. After buying the beef and his cheese, he has",53,40
gsm8k,math,openai/gsm8k,train,3389,"A certain store sells computer accessories and equipment. Due to a fire outbreak in one of the factories, the price of RAM increased by 30%. After two years, the price stabilized and finally fell by 20",63,40
gsm8k,math,openai/gsm8k,train,5940,Erica is getting dessert at a pie buffet where all the pies are the same size. She takes 1/5 of an apple pie and 3/4 of a cherry pie. What fraction of a,51,40
gsm8k,math,openai/gsm8k,train,5163,"Rollo has 3 guinea pigs, the first guinea pig eats 2 cups of food, the second guinea pig eats twice as much as the first one, and the third guinea pig eats",64,40
gsm8k,math,openai/gsm8k,train,50,"Gerald spends $100 a month on baseball supplies. His season is 4 months long. He wants to use the months he's not playing baseball to save up by raking, shoveling, and",69,40
gsm8k,math,openai/gsm8k,train,982,"Frank bakes two trays of cookies per day, for 6 days. Frank eats one cookie each day to make sure they taste good. Ted comes over on the sixth day and eats 4 cookies.",56,40
gsm8k,math,openai/gsm8k,train,657,Pete has to take a 10-minute walk down to the train station and then board a 1hr 20-minute train to LA. When should he leave if he cannot get to LA later than,50,40
gsm8k,math,openai/gsm8k,train,3356,Angel has written letters to all of her pen pals and is putting all of the letters in envelopes. Most of the letters are put into large envelopes and the remaining 20 letters are put into small,72,40
gsm8k,math,openai/gsm8k,train,975,John hits 70% of his free throws. For every foul he gets 2 shots. He gets fouled 5 times a game. How many free throws does he get if he plays in 80% of,47,40
gsm8k,math,openai/gsm8k,train,1415,"At Penny’s bakery, her famous blueberry cheesecakes are $7 a slice. Each cheesecake pie is cut into 6 thick slices. If she sells 7 cheesecake pies, how",46,40
gsm8k,math,openai/gsm8k,train,2324,"Isabella earns $5 an hour babysitting. She babysits 5 hours every day, 6 afternoons a week. After babysitting for 7 weeks, how much money will Isabella have earned",41,40
gsm8k,math,openai/gsm8k,train,4439,"Corna wants to buy a shirt. The store buys the shirt for $20, but charges 30% for profit. However, the shirt is on sale for 50% off the selling price. What",45,40
gsm8k,math,openai/gsm8k,train,4854,"In Zeoland the fine for speeding is $16 for each mile per hour the driver is traveling over the posted speed limit. In Zeoland, Jed was fined $256 for speeding on a road with",61,40
gsm8k,math,openai/gsm8k,train,3,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining",50,40
gsm8k,math,openai/gsm8k,train,6819,Vicky has an excellent internet connection. She can download up to 50 MB/second. She has to download a new program to finish a college assignment. The program’s size is 360GB,73,40
gsm8k,math,openai/gsm8k,train,426,"There is three less than four times the number of students in Elementary School as there are in Middle School. If the number of students in Middle school is 50, calculate the total number of students in both",42,40
gsm8k,math,openai/gsm8k,train,3704,On Black Friday a popular electronics store sells 327 televisions. This is 50 more than they sold last Black Friday. If this sales trend continues and they sell 50 more televisions each year for three years,56,40
gsm8k,math,openai/gsm8k,train,2061,The coach of a football team asked his players to do six laps of the field. The field is in the shape of a rectangle of length 100 m and width 50 m. What is the distance each,47,40
gsm8k,math,openai/gsm8k,train,275,"Hansel makes $30,000 a year and just received a 10% raise. Gretel makes the same amount as Hansel but received a 15% raise. How much more money will Gretel",46,40
gsm8k,math,openai/gsm8k,train,1279,Bill is buying healthcare on an exchange. The normal monthly price of the plan he wants is $500. The government will pay for part of this cost depending on Bill's income: 90% if he,107,40
gsm8k,math,openai/gsm8k,train,225,"A washing machine uses 20 gallons of water for a heavy wash, 10 gallons of water for a regular wash, and 2 gallons of water for a light wash per load of laundry. If bleach is used",93,40
gsm8k,math,openai/gsm8k,train,2121,"Nancy wanted to make peanut butter cookies for a family gathering, but her cousin is allergic to peanuts. She decided to make almond butter cookies instead. A jar of almond butter costs three times the amount",89,40
gsm8k,math,openai/gsm8k,train,794,"With one mighty blow, Maria cracked open the pinata, and candies spilled all over the floor. There were 40 red candies, 20 less than three times as many yellow candies as red",71,40
gsm8k,math,openai/gsm8k,train,953,"Wendi brought home 4 chickens. After a few days, she brought home enough additional chickens to double the number of chickens she owned. Then, a neighbor's dog ate one of her chickens. Finally",68,40
gsm8k,math,openai/gsm8k,train,3692,"Three different 6th grade classes are combining for a square dancing unit. If possible, the teachers would like each male student to partner with a female student for the unit. The first class has 17 males",88,40
gsm8k,math,openai/gsm8k,train,4648,Vince owns a hair salon and he earns $18 per head. His monthly expenses are $280 for rent and electricity and 20% of his earnings are allocated for recreation and relaxation. He will save,56,40
